Tahun,Kabupaten,Kecamatan,Kelurahan,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pensiunan,Pegawai Negeri Sipil,Tentara Nasional Indonesia,Kepolisian RI,Perdagangan,Petani/Pekebun/Peternak,Nelayan/Perikanan,Industri,Konstruksi,Transportasi,Karyawan Swasta,Karyawan BUMN,Karyawan BUMD,Karyawan Honorer,Buruh Harian Lepas,Buruh Tani/Perkebunan,Buruh Nelayan/Perikanan,Buruh Peternakan,Pembantu Rumah Tangga,Tukang Cukur,Tukang Listrik,Tukang Batu,Tukang Kayu,Tukang Sol Sepatu,Tukang Las/Pandai Besi,Tukang Jahit,Tukang Gigi,Penata Rias,Penata Busana,Penata Rambut,Mekanik,Seniman,Tabib,Paraji,Perancang Busana,Penterjemah,Imam Mesjid,Pendeta,Pastor,Wartawan,Ustadz/Mubaligh,Juru Masak,Promotor Acara,Anggota DPR-RI,Anggota DPD,Anggota BPK,Wakil Presiden,Anggota Mahkamah Konstitusi,Anggota Kabinet/Kementerian,Duta Besar,Gubernur,Wakil Gubernur,Bupati,Walikota,Anggota DPRD Provinsi,Anggota DPRD Kabupaten/Kota,Dosen,Guru,Pilot,Pengacara,Notaris,Arsitek,Akuntan,Konsultan,Dokter,Bidan,Perawat,Apoteker,Psikiater/Psikolog,Penyiar Televisi,Penyiar Radio,Pelaut,Peneliti,Sopir,Pialang,Paranormal,Pedagang,Perangkat Desa,Kepala Desa,Biarawati,Wiraswasta,Lainnya
2013,jakarta barat,taman sari,glodok,917,1999,2012,65,3,3,0,6,2,0,5,0,0,3072,2,1,2,163,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,2,1,0,0,0,29,1,0,0,0,0,0,0,1,4,0,0,134,0,0,3,566,123
2013,jakarta barat,taman sari,pinangsia,2363,2621,2205,41,32,8,6,1,2,0,2,2,13,4441,8,0,4,31,1,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,4,0,0,0,1,17,1,3,0,0,0,0,4,0,48,0,0,296,0,0,0,843,159
2013,jakarta barat,tambora,tambora,1777,2705,2828,43,16,5,1,6,2,0,1,0,0,3441,1,0,2,327,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,67,0,2,0,0,0,1,14,3,1,0,0,0,0,0,0,58,0,0,308,0,0,1,1011,64
2013,jakarta barat,tambora,kali anyar,4230,6216,6778,86,85,20,19,1,2,1,8,6,2,8679,11,1,2,438,1,0,0,0,0,0,0,1,0,0,12,0,3,0,0,2,2,1,0,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,137,0,2,0,0,0,0,9,9,11,2,0,0,0,2,0,171,0,0,70,0,0,0,2651,447
2013,jakarta barat,tambora,duri utara,3600,5224,5136,58,38,11,8,0,2,0,5,4,2,6794,13,2,2,790,1,1,0,2,0,0,0,0,0,3,10,0,1,0,1,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,79,0,0,0,0,0,0,10,2,3,0,0,0,0,2,0,83,0,0,395,1,0,0,1518,255
2013,jakarta barat,tambora,tanah sereal,4464,6613,6916,137,36,9,3,24,4,0,16,9,4,8333,8,2,33,1314,1,0,0,3,1,0,1,1,0,0,19,1,0,3,1,4,5,0,0,0,0,0,9,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,141,0,5,2,1,1,1,33,1,1,3,0,0,0,0,0,129,0,2,262,0,0,1,1998,319
2013,jakarta barat,tambora,kerendang,3466,4942,5318,113,27,6,8,1,2,0,33,19,10,6236,4,0,13,532,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,3,1,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81,0,1,0,0,0,0,16,2,1,2,0,0,0,1,0,76,0,0,135,0,0,1,2195,454
2013,jakarta barat,tambora,jembatan besi,5876,7329,7813,68,82,18,10,5,4,2,19,5,5,9353,13,0,5,873,0,0,0,1,1,0,0,0,0,0,9,0,0,0,0,1,6,0,0,0,0,0,5,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,156,0,3,0,1,0,1,12,4,7,0,0,0,0,2,0,191,0,0,561,0,0,1,3667,421
2013,jakarta barat,tambora,angke,4889,7506,7899,76,48,16,9,20,2,3,16,6,1,10596,5,1,3,856,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,3,1,0,0,0,0,0,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,5,0,0,0,0,27,5,1,2,0,0,0,2,0,129,0,0,562,0,0,0,1915,323
2013,jakarta barat,tambora,jembatan lima,3280,5453,5801,57,33,3,11,3,2,0,14,9,3,6903,7,0,11,749,0,0,0,3,0,2,0,0,0,0,13,0,0,0,0,11,5,1,0,0,0,0,6,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,112,0,5,0,0,3,2,23,4,2,0,0,0,0,2,0,140,0,0,583,0,0,2,1593,220
