Tahun,Kabupaten,Kecamatan,Kelurahan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
2015,jakarta barat,kembangan,srengseng,23612,22710,345,961
2015,jakarta barat,kembangan,joglo,21338,21886,232,510
2015,jakarta barat,kembangan,kembangan selatan,13830,14630,126,326
2015,jakarta selatan,tebet,tebet timur,9766,9695,284,775
2015,jakarta selatan,tebet,tebet barat,11726,11229,393,1011
2015,jakarta selatan,tebet,menteng dalam,20501,20241,415,1222
2015,jakarta selatan,tebet,kebon baru,20103,18752,464,1806
2015,jakarta selatan,tebet,bukit duri,20555,19426,427,1576
2015,jakarta selatan,tebet,manggarai selatan,12947,12924,212,860
2015,jakarta selatan,tebet,manggarai,16296,16167,304,1186
2015,jakarta selatan,setia budi,setia budi,1740,1577,68,116
2015,jakarta selatan,setia budi,karet semanggi,1379,1382,37,96
2015,jakarta selatan,setia budi,karet kuningan,9043,8419,131,544
2015,jakarta selatan,setia budi,karet,5837,5496,80,292
2015,jakarta selatan,setia budi,menteng atas,15725,15109,407,1179
2015,jakarta selatan,setia budi,pasar manggis,15364,14877,262,499
2015,jakarta selatan,setia budi,guntur,2246,2091,44,182
2015,jakarta selatan,setia budi,kuningan timur,3403,3251,78,192
2015,jakarta selatan,mampang prapatan,mampang prapatan,10726,9952,211,681
2015,jakarta selatan,mampang prapatan,bangka,12051,11951,258,584
2015,jakarta selatan,mampang prapatan,pela mampang,24726,23999,597,1837
2015,jakarta selatan,mampang prapatan,tegal parang,18594,17403,296,942
2015,jakarta selatan,mampang prapatan,kuningan barat,7367,7192,83,435
2015,jakarta selatan,pasar minggu,pasar minggu,13755,13526,278,931
2015,jakarta selatan,pasar minggu,jati padang,20437,20111,382,1250
2015,jakarta selatan,pasar minggu,cilandak timur,14007,13538,184,581
2015,jakarta selatan,pasar minggu,ragunan,21594,21322,362,1313
2015,jakarta selatan,pasar minggu,pejaten timur,32544,30998,537,1892
2015,jakarta selatan,pasar minggu,pejaten barat,20465,19554,458,1296
2015,jakarta selatan,pasar minggu,kebagusan,24131,23805,304,902
2015,jakarta selatan,kebayoran lama,kebayoran lama utara,23531,22936,402,1241
2015,jakarta selatan,kebayoran lama,pondok pinang,30272,29642,572,1807
2015,jakarta selatan,kebayoran lama,cipulir,21704,21591,263,867
2015,jakarta selatan,kebayoran lama,grogol utara,23949,23977,277,676
2015,jakarta selatan,kebayoran lama,grogol selatan,24235,24035,339,1223
2015,jakarta selatan,kebayoran lama,kebayoran lama selatan,21728,22151,334,992
2015,jakarta selatan,cilandak,cilandak barat,27694,27723,698,1755
2015,jakarta selatan,cilandak,lebak bulus,19700,19305,389,1024
2015,jakarta selatan,cilandak,pondok labu,24385,23972,445,1422
2015,jakarta selatan,cilandak,gandaria selatan,12126,11754,309,635
2015,jakarta selatan,cilandak,cipete selatan,15047,14145,407,961
2015,jakarta selatan,kebayoran baru,melawai,1459,1541,58,80
2015,jakarta selatan,kebayoran baru,gunung,4997,5083,138,404
2015,jakarta selatan,kebayoran baru,kramat pela,7968,7725,211,459
2015,jakarta selatan,kebayoran baru,selong,1631,1862,57,85
2015,jakarta selatan,kebayoran baru,rawa barat,3041,3139,78,158
2015,jakarta selatan,kebayoran baru,senayan,1891,1842,65,152
2015,jakarta selatan,kebayoran baru,pulo,3298,3149,95,274
2015,jakarta selatan,kebayoran baru,petogogan,6577,6482,156,412
