Tahun,Kabupaten,Kecamatan,Kelurahan,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pensiunan,Pegawai Negeri Sipil,Tentara Nasional Indonesia,Kepolisian RI,Perdagangan,Petani/Pekebun/Peternak,Nelayan/Perikanan,Industri,Konstruksi,Transportasi,Karyawan Swasta,Karyawan BUMN,Karyawan BUMD,Karyawan Honorer,Buruh Harian Lepas,Buruh Tani/Perkebunan,Buruh Nelayan/Perikanan,Buruh Peternakan,Pembantu Rumah Tangga,Tukang Cukur,Tukang Listrik,Tukang Batu,Tukang Kayu,Tukang Sol Sepatu,Tukang Las/Pandai Besi,Tukang Jahit,Tukang Gigi,Penata Rias,Penata Busana,Penata Rambut,Mekanik,Seniman,Tabib,Paraji,Perancang Busana,Penterjemah,Imam Mesjid,Pendeta,Pastor,Wartawan,Ustadz/Mubaligh,Juru Masak,Promotor Acara,Anggota DPR-RI,Anggota DPD,Anggota BPK,Wakil Presiden,Anggota Mahkamah Konstitusi,Anggota Kabinet/Kementerian,Duta Besar,Gubernur,Wakil Gubernur,Bupati,Walikota,Anggota DPRD Provinsi,Anggota DPRD Kabupaten/Kota,Dosen,Guru,Pilot,Pengacara,Notaris,Arsitek,Akuntan,Konsultan,Dokter,Bidan,Perawat,Apoteker,Psikiater/Psikolog,Penyiar Televisi,Penyiar Radio,Pelaut,Peneliti,Sopir,Pialang,Paranormal,Pedagang,Perangkat Desa,Kepala Desa,Biarawati,Wiraswasta,Lainnya
2013,JAKARTA UTARA,KOJA,TUGU UTARA,14499,16681,18527,758,732,104,72,1,3,8,17,11,5,18508,121,3,34,2114,,,,7,,,,,,,2,,,,,4,23,,,,,,13,,17,3,,,1,,,,,,,,,,,1,,40,612,,8,1,,,2,79,31,63,2,,,,539,,200,,,275,,,2,6016,734
2013,JAKARTA UTARA,KOJA,LAGOA,12690,15059,15773,451,381,107,44,1,9,54,30,27,1,13222,138,4,19,4607,,6,,6,,,,,,,14,,,,1,11,22,,,,,,24,,17,4,,,,,,,,,,,,,,,,26,479,,9,,,,4,38,18,72,4,,,,929,,315,,,1152,,,8,3237,674
2013,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,6929,8845,9686,417,306,73,31,2,3,5,13,4,1,7274,114,2,29,2615,1,1,,1,,1,,,,1,4,,,,,,5,,,,,1,16,4,8,4,1,,1,,,,,,,,,,,,,18,277,,4,2,1,,1,45,14,32,2,,,,1052,3,141,,,748,,,,2688,281
2013,JAKARTA UTARA,KOJA,TUGU SELATAN,7267,8264,9541,242,274,59,51,,3,1,15,6,4,11342,39,2,14,1442,5,,,,,,,,,,1,,,,,1,6,,,,,,17,,14,1,,,,,,,,,,,,,,,,14,399,,3,,1,,2,20,16,41,2,,,,185,3,239,1,,203,,,,2473,324
2013,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,8555,9413,10436,350,248,76,34,2,10,3,7,10,2,10360,93,3,5,2047,2,1,,2,,,,,,,2,,,,,,12,,,,,,19,,8,,,,,,,,,,,,,,,,,17,419,2,6,,1,,1,25,16,47,1,,,,163,,231,,,475,,,,3712,322
2013,JAKARTA UTARA,CILINCING,CILINCING,9473,11191,12349,244,276,88,252,12,3,178,30,3,12,10423,75,3,26,3223,1,21,,2,,,,,,,9,,,,,5,9,,,,,,15,,8,,,,,,,,,,,,,,,,,12,445,,4,,,,2,15,26,51,,,1,,198,,355,,,586,,,2,2142,801
2013,JAKARTA UTARA,CILINCING,SUKAPURA,11474,8754,13151,392,374,55,54,,57,3,15,13,4,22877,104,1,14,871,4,1,,8,,,,,,,3,,,,2,3,3,,,,,,18,,25,,1,,1,,,,,,,,,,,,,27,492,,11,,3,,4,60,20,41,6,,,,83,,241,,,608,,,,4505,706
2013,JAKARTA UTARA,CILINCING,MARUNDA,4445,5391,6169,63,171,72,38,4,41,319,14,7,3,3938,31,1,12,1744,4,15,,1,,,,,,,2,,,,,3,6,,,,,,7,,3,1,,,,,,,,,,,,,,,,9,194,,,,,,1,9,11,16,,,,,102,,178,,,187,,,1,1115,264
2013,JAKARTA UTARA,CILINCING,KALI BARU,15778,18402,19309,100,122,79,26,10,7,2606,41,25,13,10894,14,,16,5833,1,10,,1,,,,1,,,2,,,,,8,4,,,,,,4,,15,2,,,,,,,,,,,,,,,,9,357,,2,1,,1,,14,12,41,,,,,401,,593,,1,1723,,,5,7119,1065
2013,JAKARTA UTARA,CILINCING,SEMPER TIMUR,6549,8077,10040,416,315,239,386,2,14,9,6,6,2,9239,35,,3,1090,2,1,,2,,,,,,,,,,,,4,2,,,,,,13,,7,,,,,,,,,,,,,,,,,13,377,,5,,,,,26,18,50,,,,,188,,254,,,37,,,,2674,237
