Nama,Kabupaten,Kecamatan,Kelurahan,Luas,Jenis
Taman Danau Melintang, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,764, Taman Lingkungan 
Taman PAM Baru, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,2700, Taman Lingkungan 
Taman Bendungan Jatiluhur VII, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,382, Taman Lingkungan 
Taman Danau Buyan, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,455, Taman Lingkungan 
Taman Danau Singkarak, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,1864, Taman Lingkungan 
Taman LAN Pejompongan, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,550, Taman Lingkungan 
Taman Danau Gelinggang, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,732, Taman Lingkungan 
Taman Danau Brantas, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,1836, Taman Lingkungan 
Taman Situ Aksan, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,433, Taman Lingkungan 
Taman Bendungan Jatiluhur, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,552, Taman Lingkungan 
Taman Danau Medara, Jakarta Pusat , Tanah Abang , Bendungan Hilir ,1615, Taman Lingkungan 
Taman Segitiga Palmerah, Jakarta Pusat , Tanah Abang , Gelora ,500, Taman Lingkungan 
Taman Belokan Palmerah, Jakarta Pusat , Tanah Abang , Gelora ,1000, Taman Lingkungan 
Taman Viaduct Pejompongan, Jakarta Pusat , Tanah Abang , Gelora ,12500, Taman Lingkungan 
Taman Semanggi (Gelora), Jakarta Pusat , Tanah Abang , Gelora ,12543, Taman Lingkungan 
Taman Segitiga Palmerah Arteri, Jakarta Pusat , Tanah Abang , Gelora ,100, Taman Lingkungan 
Taman Bunderan Pintu I, Jakarta Pusat , Tanah Abang , Gelora ,100, Taman Lingkungan 
Taman Hati Suci, Jakarta Pusat , Tanah Abang , Kampung Bali ,212, Taman Lingkungan 
Taman Kampung Bali IX, Jakarta Pusat , Tanah Abang , Kampung Bali ,1829, Taman Lingkungan 
Taman Kp. Bali 25, Jakarta Pusat , Tanah Abang , Kampung Bali ,153, Taman Lingkungan 
Taman Segitiga Fachrudin, Jakarta Pusat , Tanah Abang , Kampung Bali ,1000, Taman Lingkungan 
Taman Segitiga Fly Over Jatibaru Kiri, Jakarta Pusat , Tanah Abang , Kampung Bali ,95, Taman Lingkungan 
Taman Tanah Rendah, Jakarta Pusat , Tanah Abang , Kampung Bali ,1000, Taman Lingkungan 
Taman Sgt Fly Over Jatibaru Kanan, Jakarta Pusat , Tanah Abang , Kampung Bali ,205, Taman Lingkungan 
Taman Kel Kp Bali Rw 09, Jakarta Pusat , Tanah Abang , Kampung Bali ,240, Taman Lingkungan 
Taman Jembatan Serong, Jakarta Pusat , Tanah Abang , Kampung Bali ,90, Taman Lingkungan 
Taman Pulau-pulau Jalan, Jakarta Pusat , Tanah Abang , Karet Tengsin ,2500, Taman Lingkungan 
Taman Segitiga Kebon Kacang Raya, Jakarta Pusat , Tanah Abang , Kebon Kacang ,4000, Taman Lingkungan 
Taman Jembatan Tinggi, Jakarta Pusat , Tanah Abang , Kebon Melati ,1000, Taman Lingkungan 
Taman Tanjung Karang, Jakarta Pusat , Tanah Abang , Kebon Melati ,5724, Taman Lingkungan 
Taman Awaludin I / II, Jakarta Pusat , Tanah Abang , Kebon Melati ,1093, Taman Lingkungan 
Taman Awaludin PLN, Jakarta Pusat , Tanah Abang , Kebon Melati ,720, Taman Lingkungan 
Taman Waduk Melati, Jakarta Pusat , Tanah Abang , Kebon Melati ,1161, Taman Lingkungan 
Taman Talang Betutu Ujung, Jakarta Pusat , Tanah Abang , Kebon Melati ,2014, Taman Lingkungan 
Taman Pulau-pulau Slipi, Jakarta Pusat , Tanah Abang , Petamburan ,30, Taman Lingkungan 
Taman Deplu, Jakarta Selatan , Cilandak , Cilandak Barat ,584, Taman Lingkungan 
Taman P & K / Taman Gajah, Jakarta Selatan , Cilandak , Gandaria Selatan ,2864, Taman Lingkungan 
Taman PWI, Jakarta Selatan , Cilandak , Lebak Bulus ,150, Taman Lingkungan 
Taman Batan (Lbk Bulus), Jakarta Selatan , Cilandak , Lebak Bulus ,2371, Taman Lingkungan 
Taman Wijaya Kusuma II, Jakarta Selatan , Cilandak , Pondok Labu ,800, Taman Lingkungan 
Taman Wijaya Kusuma (Pndk Labu), Jakarta Selatan , Cilandak , Pondok Labu ,900, Taman Lingkungan 
Taman Jati Raya, Jakarta Selatan , Cilandak , Pondok Labu ,5560, Taman Lingkungan 
Taman Timah, Jakarta Selatan , Cilandak , Pondok Labu ,2078, Taman Lingkungan 
Taman Wijaya Kusuma III, Jakarta Selatan , Cilandak , Pondok Labu ,933, Taman Lingkungan 
Taman Agraria, Jakarta Selatan , Cilandak , Pondok Labu ,2542, Taman Lingkungan 
Taman Wijaya Kusuma I, Jakarta Selatan , Cilandak , Pondok Labu ,764, Taman Lingkungan 
Taman Wijaya Kusuma (Cilandak Brt), Jakarta Selatan , Cilandak , Pondok Labu ,634, Taman Lingkungan 
Taman Ambalun, Jakarta Selatan , Cilandak , Pondok Labu ,639, Taman Lingkungan 
Taman Pangkalan Jati, Jakarta Selatan , Cilandak , Pondok Labu ,443, Taman Lingkungan 
Taman Wijaya Kusuma Raya, Jakarta Selatan , Cilandak , Pondok Labu ,3760, Taman Lingkungan 
Taman Purwa Kav. DKI, Jakarta Selatan , Jagakarsa , Cipedak ,24606, Taman Lingkungan 
Taman Purwa, Jakarta Selatan , Jagakarsa , Cipedak ,755, Taman Lingkungan 
Taman Nangka Selatan, Jakarta Selatan , Jagakarsa , Jagakarsa ,250, Taman Lingkungan 
Taman Lenteng Agung, Jakarta Selatan , Jagakarsa , Lenteng Agung ,2552, Taman Lingkungan 
"Taman Publisistik, depan", Jakarta Selatan , Jagakarsa , Srengseng Sawah ,360, Taman Lingkungan 
Taman Pintu KA Srengseng Barat, Jakarta Selatan , Jagakarsa , Srengseng Sawah ,250, Taman Lingkungan 
Taman Pondok Cina, Jakarta Selatan , Jagakarsa , Srengseng Sawah ,3250, Taman Lingkungan 
Taman Depan. Univ. Pancasila, Jakarta Selatan , Jagakarsa , Srengseng Sawah ,3869, Taman Lingkungan 
Taman Pintu KA Srengseng Timur, Jakarta Selatan , Jagakarsa , Srengseng Sawah ,315, Taman Lingkungan 
Taman Jihandak, Jakarta Selatan , Jagakarsa , Srengseng Sawah ,882, Taman Lingkungan 
Taman Lenteng Agung Timur, Jakarta Selatan , Jagakarsa , Srengseng Sawah ,357, Taman Lingkungan 
"Taman Univ. Indonesia, dep. Pintu Gerbang", Jakarta Selatan , Jagakarsa , Srengseng Sawah ,12604, Taman Lingkungan 
Taman Pulo Tanjung Barat, Jakarta Selatan , Jagakarsa , Tanjung Barat ,70, Taman Lingkungan 
"Taman BPG, depan", Jakarta Selatan , Jagakarsa , Tanjung Barat ,600, Taman Lingkungan 
Taman Cililin, Jakarta Selatan , Kebayoran Baru , -   ,647, Taman Lingkungan 
REFUNGSI SPBU NO. 34-12111 Jl.Mataram I (Sisi Timur), Jakarta Selatan , Kebayoran Baru , -   ,1285, Taman Lingkungan 
REFUNGSI SPBU NO. 34-12112 Jl.Pakubuwono VI (Sisi Barat), Jakarta Selatan , Kebayoran Baru , -   ,2220, Taman Lingkungan 
"Taman Ciragil, sisi kali sebelah selatan", Jakarta Selatan , Kebayoran Baru , -   ,800, Taman Lingkungan 
Taman Sampit, Jakarta Selatan , Kebayoran Baru , -   ,1727, Taman Lingkungan 
"Taman Wijaya I, pom bensin", Jakarta Selatan , Kebayoran Baru , -   ,1082, Taman Lingkungan 
Taman Cibulan, Jakarta Selatan , Kebayoran Baru , -   ,1029, Taman Lingkungan 
Taman Cisang Giri, Jakarta Selatan , Kebayoran Baru , -   ,1986, Taman Lingkungan 
REFUNGSI SPBU NO. 34-13204 Jl.Mataram I (Sisi Barat), Jakarta Selatan , Kebayoran Baru , -   ,1850, Taman Lingkungan 
Taman Gandaria Raya, Jakarta Selatan , Kebayoran Baru , -   ,4061, Taman Lingkungan 
Taman Wijaya I depan PTIK, Jakarta Selatan , Kebayoran Baru , -   ,2045, Taman Lingkungan 
REFUNGSI SPBU NO. 31-12103 Jl.Pakubuwono VI (Sisi Timur), Jakarta Selatan , Kebayoran Baru , -   ,3600, Taman Lingkungan 
REFUNGSI SPBU NO. 34-12108 Jl.Suryo / Senopati, Jakarta Selatan , Kebayoran Baru , -   ,1000, Taman Lingkungan 
Taman Damai II, Jakarta Selatan , Kebayoran Baru , Cipete Utara ,2000, Taman Lingkungan 
Taman Vila Sawo, Jakarta Selatan , Kebayoran Baru , Cipete Utara ,2411, Taman Lingkungan 
Taman Radio I, Jakarta Selatan , Kebayoran Baru , Gandaria Utara ,660, Taman Lingkungan 
Taman Radio Dalam, Jakarta Selatan , Kebayoran Baru , Gandaria Utara ,1360, Taman Lingkungan 
Taman Radio II, Jakarta Selatan , Kebayoran Baru , Gandaria Utara ,755, Taman Lingkungan 
Taman Yado, Jakarta Selatan , Kebayoran Baru , Gandaria Utara ,250, Taman Lingkungan 
Taman SD Mexico, Jakarta Selatan , Kebayoran Baru , Gunung ,1255, Taman Lingkungan 
Taman Ujung Lauser, Jakarta Selatan , Kebayoran Baru , Gunung ,2309, Taman Lingkungan 
Taman Kerinci, Jakarta Selatan , Kebayoran Baru , Gunung ,2871, Taman Lingkungan 
Taman Martimbang Kecil III, Jakarta Selatan , Kebayoran Baru , Gunung ,443, Taman Lingkungan 
Taman Dempo V, Jakarta Selatan , Kebayoran Baru , Gunung ,648, Taman Lingkungan 
Taman Tumbuh Berkembang, Jakarta Selatan , Kebayoran Baru , Gunung ,4900, Taman Lingkungan 
Taman Hang Tuah Raya, Jakarta Selatan , Kebayoran Baru , Gunung ,2707, Taman Lingkungan 
Taman Martimbang IV, Jakarta Selatan , Kebayoran Baru , Gunung ,1739, Taman Lingkungan 
Taman Hanglekir II, Jakarta Selatan , Kebayoran Baru , Gunung ,135, Taman Lingkungan 
Taman Pom. Bensin sebelah Ut. SMKK 30, Jakarta Selatan , Kebayoran Baru , Gunung ,3177, Taman Lingkungan 
Taman Dempo IV, Jakarta Selatan , Kebayoran Baru , Gunung ,350, Taman Lingkungan 
Taman Dempo 6, Jakarta Selatan , Kebayoran Baru , Gunung ,327, Taman Lingkungan 
Taman Raya/Kerinci X, Jakarta Selatan , Kebayoran Baru , Gunung ,2200, Taman Lingkungan 
Taman Mataram Barat, Jakarta Selatan , Kebayoran Baru , Gunung ,3490, Taman Lingkungan 
Taman Tebah, Jakarta Selatan , Kebayoran Baru , Gunung ,1952, Taman Lingkungan 
Taman Martimbang kecil IV, Jakarta Selatan , Kebayoran Baru , Gunung ,544, Taman Lingkungan 
Taman Dempo II, Jakarta Selatan , Kebayoran Baru , Gunung ,246, Taman Lingkungan 
"Taman Leuser, ujung", Jakarta Selatan , Kebayoran Baru , Gunung ,8500, Taman Lingkungan 
Taman Pulo Jl Sgt Bulungan, Jakarta Selatan , Kebayoran Baru , Gunung ,30, Taman Lingkungan 
Taman Martimbang Kecil II, Jakarta Selatan , Kebayoran Baru , Gunung ,385, Taman Lingkungan 
Taman Hang Jebat V, Jakarta Selatan , Kebayoran Baru , Gunung ,1856, Taman Lingkungan 
"Taman Hang Tuah VII, sparator", Jakarta Selatan , Kebayoran Baru , Gunung ,800, Taman Lingkungan 
"Taman Hanglekir, segi-3", Jakarta Selatan , Kebayoran Baru , Gunung ,300, Taman Lingkungan 
Taman Martimbang III, Jakarta Selatan , Kebayoran Baru , Gunung ,2072, Taman Lingkungan 
"Taman Pakubuwono, Dep. Apotik", Jakarta Selatan , Kebayoran Baru , Gunung ,2212, Taman Lingkungan 
Taman Pom. Bensin sebelah sel. SMKK 30, Jakarta Selatan , Kebayoran Baru , Gunung ,1112, Taman Lingkungan 
Taman Puring, Jakarta Selatan , Kebayoran Baru , Gunung ,13382, Taman Lingkungan 
Taman Velbak, Jakarta Selatan , Kebayoran Baru , Gunung ,1000, Taman Lingkungan 
Taman Dempo I, Jakarta Selatan , Kebayoran Baru , Gunung ,1051, Taman Lingkungan 
Taman Martimbang II, Jakarta Selatan , Kebayoran Baru , Gunung ,1601, Taman Lingkungan 
Taman Tebah dpn Pasar Mayestik, Jakarta Selatan , Kebayoran Baru , Gunung ,56, Taman Lingkungan 
Taman Hang Jebat IX, Jakarta Selatan , Kebayoran Baru , Gunung ,1000, Taman Lingkungan 
Taman Lamandau, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,800, Taman Lingkungan 
Taman Barito I SGT, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,122, Taman Lingkungan 
Taman Belakang PosPolantas Tmn Puring, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,935, Taman Lingkungan 
Taman Bacang, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,1762, Taman Lingkungan 
Taman Lamandau I, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,538, Taman Lingkungan 
"Taman Barito, depan Hero", Jakarta Selatan , Kebayoran Baru , Kramat Pela ,400, Taman Lingkungan 
Taman Mendawai II, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,434, Taman Lingkungan 
Taman Gandaria Tengah I, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,1716, Taman Lingkungan 
Taman Barito II depan Tarakanita, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,399, Taman Lingkungan 
Taman Pela, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,7773, Taman Lingkungan 
Taman Gandaria V, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,4419, Taman Lingkungan 
"Taman Gandaria I (raya), segi-3", Jakarta Selatan , Kebayoran Baru , Kramat Pela ,500, Taman Lingkungan 
Taman Barito SGT kecil, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,4, Taman Lingkungan 
"Taman Gandaria Tengah V, dep. Kel.", Jakarta Selatan , Kebayoran Baru , Kramat Pela ,3290, Taman Lingkungan 
Taman Sambas IV, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,299, Taman Lingkungan 
"Taman Barito, segitiga", Jakarta Selatan , Kebayoran Baru , Kramat Pela ,1827, Taman Lingkungan 
Taman Lamandau II, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,268, Taman Lingkungan 
Taman Mendawai, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,600, Taman Lingkungan 
Taman Mendawai IV, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,333, Taman Lingkungan 
"Taman Radio IV, sisi kali", Jakarta Selatan , Kebayoran Baru , Kramat Pela ,700, Taman Lingkungan 
Taman Mendawai I, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,100, Taman Lingkungan 
Taman Sambas, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,3892, Taman Lingkungan 
Taman Barito Langsat, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,53000, Taman Lingkungan 
Taman Blok M Plaza, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,1111, Taman Lingkungan 
"Taman SGO, samping", Jakarta Selatan , Kebayoran Baru , Kramat Pela ,300, Taman Lingkungan 
Taman Barito II Raya, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,1441, Taman Lingkungan 
Taman Gandaria Tengah II, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,2500, Taman Lingkungan 
Taman Sambas V, Jakarta Selatan , Kebayoran Baru , Kramat Pela ,1566, Taman Lingkungan 
Taman Wijaya IX, Jakarta Selatan , Kebayoran Baru , Melawai ,3572, Taman Lingkungan 
Taman Wijaya I Lereng samping PTIK, Jakarta Selatan , Kebayoran Baru , Melawai ,869, Taman Lingkungan 
Taman Panglima Polim XIII, Jakarta Selatan , Kebayoran Baru , Melawai ,2250, Taman Lingkungan 
Taman Wisma Angkasa, Jakarta Selatan , Kebayoran Baru , Melawai ,1780, Taman Lingkungan 
Taman Eks SPBU No.31-12102 Jl.Melawai Raya, Jakarta Selatan , Kebayoran Baru , Melawai ,872, Taman Lingkungan 
Taman YPK Panglima Polim, Jakarta Selatan , Kebayoran Baru , Melawai ,2779, Taman Lingkungan 
Taman STM Penerbangan, Jakarta Selatan , Kebayoran Baru , Melawai ,306, Taman Lingkungan 
Taman Wijaya I Travo, Jakarta Selatan , Kebayoran Baru , Melawai ,1625, Taman Lingkungan 
Taman Wijaya XIV, Jakarta Selatan , Kebayoran Baru , Melawai ,1384, Taman Lingkungan 
Taman Panglima Polim XII, Jakarta Selatan , Kebayoran Baru , Melawai ,2558, Taman Lingkungan 
Taman Wijaya XII, Jakarta Selatan , Kebayoran Baru , Melawai ,200, Taman Lingkungan 
Taman Cilosari, Jakarta Selatan , Kebayoran Baru , Melawai ,921, Taman Lingkungan 
Taman Sunan Kalijaga, Jakarta Selatan , Kebayoran Baru , Melawai ,505, Taman Lingkungan 
Taman Melawai Raya, Jakarta Selatan , Kebayoran Baru , Melawai ,1495, Taman Lingkungan 
Taman Martha Tiahahu Blok M, Jakarta Selatan , Kebayoran Baru , Melawai ,7500, Taman Lingkungan 
Taman Wijaya 10, Jakarta Selatan , Kebayoran Baru , Melawai ,228, Taman Lingkungan 
"Taman Darmawangsa, tanggul", Jakarta Selatan , Kebayoran Baru , Pulo ,1205, Taman Lingkungan 
"Taman Prapanca Buntu, sisi Barat & Timur", Jakarta Selatan , Kebayoran Baru , Pulo ,1400, Taman Lingkungan 
Taman Kerbau-Gajah, Jakarta Selatan , Kebayoran Baru , Pulo ,1743, Taman Lingkungan 
Taman Dharmawangsa IX, Jakarta Selatan , Kebayoran Baru , Pulo ,2010, Taman Lingkungan 
Taman Pangudi Luhur, Jakarta Selatan , Kebayoran Baru , Pulo ,1200, Taman Lingkungan 
Taman Brawijaya VIII, Jakarta Selatan , Kebayoran Baru , Pulo ,3104, Taman Lingkungan 
Taman Blok P SGT, Jakarta Selatan , Kebayoran Baru , Pulo ,147, Taman Lingkungan 
"Taman Darmawangsa VIII, segi-3", Jakarta Selatan , Kebayoran Baru , Pulo ,1600, Taman Lingkungan 
Taman Prapanca IV, Jakarta Selatan , Kebayoran Baru , Pulo ,750, Taman Lingkungan 
Taman Prapanca SGT, Jakarta Selatan , Kebayoran Baru , Pulo ,2240, Taman Lingkungan 
Taman Brawijaya I/B, Jakarta Selatan , Kebayoran Baru , Pulo ,2175, Taman Lingkungan 
"Taman Darmawangsa IX, segi-3 kecil", Jakarta Selatan , Kebayoran Baru , Pulo ,86, Taman Lingkungan 
"Taman Darmawangsa, tanggul, lanjutan", Jakarta Selatan , Kebayoran Baru , Pulo ,3096, Taman Lingkungan 
Taman Radius, Jakarta Selatan , Kebayoran Baru , Pulo ,1800, Taman Lingkungan 
Taman Kura Kura, Jakarta Selatan , Kebayoran Baru , Pulo ,3467, Taman Lingkungan 
Taman Pulo Depan Kelurahan, Jakarta Selatan , Kebayoran Baru , Pulo ,367, Taman Lingkungan 
Taman Prapanca V, Jakarta Selatan , Kebayoran Baru , Pulo ,500, Taman Lingkungan 
Taman Prapanca I, Jakarta Selatan , Kebayoran Baru , Pulo ,1456, Taman Lingkungan 
Taman Blok P Bunderan, Jakarta Selatan , Kebayoran Baru , Pulo ,816, Taman Lingkungan 
Taman Ciniru, Jakarta Selatan , Kebayoran Baru , Rawa Barat ,1472, Taman Lingkungan 
Taman Rajaksa, Jakarta Selatan , Kebayoran Baru , Rawa Barat ,2847, Taman Lingkungan 
Taman Empu Sendok Dalam, Jakarta Selatan , Kebayoran Baru , Rawa Barat ,528, Taman Lingkungan 
"Taman Wolter Mongisidi, segitiga", Jakarta Selatan , Kebayoran Baru , Rawa Barat ,890, Taman Lingkungan 
Taman Laksana, Jakarta Selatan , Kebayoran Baru , Rawa Barat ,655, Taman Lingkungan 
Taman Kertanegara, Jakarta Selatan , Kebayoran Baru , Selong ,936, Taman Lingkungan 
Taman Mataram Timur, Jakarta Selatan , Kebayoran Baru , Selong ,4089, Taman Lingkungan 
"Taman Ciragil, sisi kali sebelah utara", Jakarta Selatan , Kebayoran Baru , Selong ,1350, Taman Lingkungan 
Taman Gunawarman Timur, Jakarta Selatan , Kebayoran Baru , Selong ,2002, Taman Lingkungan 
Taman Senopati, Jakarta Selatan , Kebayoran Baru , Selong ,200, Taman Lingkungan 
Taman Cemara (Selong), Jakarta Selatan , Kebayoran Baru , Selong ,2045, Taman Lingkungan 
Taman Daksa IV, Jakarta Selatan , Kebayoran Baru , Selong ,1826, Taman Lingkungan 
"Taman PUTL, segi-3", Jakarta Selatan , Kebayoran Baru , Selong ,1666, Taman Lingkungan 
Taman Galuh, Jakarta Selatan , Kebayoran Baru , Selong ,3108, Taman Lingkungan 
Taman Bakti, Jakarta Selatan , Kebayoran Baru , Selong ,573, Taman Lingkungan 
Taman Daha SMKN 82, Jakarta Selatan , Kebayoran Baru , Selong ,1213, Taman Lingkungan 
Taman Cibeber, Jakarta Selatan , Kebayoran Baru , Selong ,855, Taman Lingkungan 
Taman Tulodong Bawah, Jakarta Selatan , Kebayoran Baru , Selong ,1300, Taman Lingkungan 
"Taman Senopati, Pom Bensin, segi-3", Jakarta Selatan , Kebayoran Baru , Selong ,500, Taman Lingkungan 
Taman Sriwijaya, Jakarta Selatan , Kebayoran Baru , Selong ,1960, Taman Lingkungan 
Taman Hal. Kany. Walikota Jaksel, Jakarta Selatan , Kebayoran Baru , Selong ,2759, Taman Lingkungan 
Taman Belitung III, Jakarta Selatan , Kebayoran Baru , Selong ,1926, Taman Lingkungan 
Taman Empu Sendok Luar, Jakarta Selatan , Kebayoran Baru , Selong ,681, Taman Lingkungan 
"Taman Senopati, arah danayasa, segi-3", Jakarta Selatan , Kebayoran Baru , Selong ,200, Taman Lingkungan 
Taman Gunawarman Barat, Jakarta Selatan , Kebayoran Baru , Selong ,1691, Taman Lingkungan 
Taman Suren, Jakarta Selatan , Kebayoran Baru , Selong ,1924, Taman Lingkungan 
Taman Senjaya, Jakarta Selatan , Kebayoran Baru , Selong ,2173, Taman Lingkungan 
Taman Patung Pemuda (Bund. Senayan), Jakarta Selatan , Kebayoran Baru , Selong ,1804, Taman Lingkungan 
Taman Sriwijaya I, Jakarta Selatan , Kebayoran Baru , Selong ,146, Taman Lingkungan 
Taman Bangkeng, Jakarta Selatan , Kebayoran Baru , Selong ,665, Taman Lingkungan 
Taman Darmajaya, Jakarta Selatan , Kebayoran Baru , Senayan ,290, Taman Lingkungan 
Taman Bakin/Kedutaan Cina, Jakarta Selatan , Kebayoran Baru , Senayan ,200, Taman Lingkungan 
Taman Darmajaya, Jakarta Selatan , Kebayoran Baru , Senayan ,350, Taman Lingkungan 
Taman Teuku Nyak Arief, Jakarta Selatan , Kebayoran Lama , Grogol Selatan ,2210, Taman Lingkungan 
Taman F.O Permata Hijau, Jakarta Selatan , Kebayoran Lama , Grogol Selatan ,5700, Taman Lingkungan 
Taman Jiban, Jakarta Selatan , Kebayoran Lama , Grogol Selatan ,867, Taman Lingkungan 
Taman Putri Hijau Sisi Rel KA, Jakarta Selatan , Kebayoran Lama , Grogol Selatan ,536, Taman Lingkungan 
"Taman Permata Hijau, pulau-pulau", Jakarta Selatan , Kebayoran Lama , Grogol Selatan ,625, Taman Lingkungan 
Taman Segitiga Permata Hijau, Jakarta Selatan , Kebayoran Lama , Grogol Selatan ,193, Taman Lingkungan 
Taman Segitiga Depan Hero, Jakarta Selatan , Kebayoran Lama , Grogol Utara ,525, Taman Lingkungan 
Taman Segitiga Boulevard, Jakarta Selatan , Kebayoran Lama , Grogol Utara ,278, Taman Lingkungan 
Taman Cempaka, Jakarta Selatan , Kebayoran Lama , Grogol Utara ,564, Taman Lingkungan 
Taman Kenanga, Jakarta Selatan , Kebayoran Lama , Grogol Utara ,845, Taman Lingkungan 
Taman Grogol Utara Rw 07, Jakarta Selatan , Kebayoran Lama , Grogol Utara ,533, Taman Lingkungan 
Taman Pirus, Jakarta Selatan , Kebayoran Lama , Grogol Utara ,2146, Taman Lingkungan 
Taman Melati (Grogol Utr), Jakarta Selatan , Kebayoran Lama , Grogol Utara ,492, Taman Lingkungan 
Taman Bendi Blok A, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Selatan ,152, Taman Lingkungan 
Taman Bendi Barat Bagian Utara, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Selatan ,6262, Taman Lingkungan 
Taman Makarya I, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Selatan ,1868, Taman Lingkungan 
Taman Bendi Elok, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Selatan ,723, Taman Lingkungan 
Taman Makarya II, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Selatan ,835, Taman Lingkungan 
Taman Bendi Barat Bagian Selatan, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Selatan ,12601, Taman Lingkungan 
Taman Delman Asri IV, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,1079, Taman Lingkungan 
Taman Gandaria Trafo, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,989, Taman Lingkungan 
Taman Bendi Raya Lanjutan, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,50, Taman Lingkungan 
Taman Jln Peninggaran Keb Lama, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,715, Taman Lingkungan 
Taman Bendi Timur Bagian Utara, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,4104, Taman Lingkungan 
Taman Segi-3 Arteri Simprug By Pass, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,1200, Taman Lingkungan 
Taman Segitiga Gandaria, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,258, Taman Lingkungan 
Taman Bendi Raya, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,1073, Taman Lingkungan 
Taman Peninggaran RW 09 Keb lama, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,550, Taman Lingkungan 
Taman Bendi Timur Bagian Selatan, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,17556, Taman Lingkungan 
Taman Praja, Jakarta Selatan , Kebayoran Lama , Kebayoran Lama Utara ,694, Taman Lingkungan 
Taman H. Muhi VIII, Jakarta Selatan , Kebayoran Lama , Pondok Pinang ,312, Taman Lingkungan 
Taman H. Muhi, Jakarta Selatan , Kebayoran Lama , Pondok Pinang ,2000, Taman Lingkungan 
Taman Segitiga Pasar Jumat, Jakarta Selatan , Kebayoran Lama , Pondok Pinang ,500, Taman Lingkungan 
Taman H. Muhi IX, Jakarta Selatan , Kebayoran Lama , Pondok Pinang ,196, Taman Lingkungan 
Taman H. Muhi VII, Jakarta Selatan , Kebayoran Lama , Pondok Pinang ,1993, Taman Lingkungan 
Taman Segitiga Pondok Pinang, Jakarta Selatan , Kebayoran Lama , Pondok Pinang ,346, Taman Lingkungan 
Taman Canadiyanti, Jakarta Selatan , Mampang Prapatan , -   ,718, Taman Lingkungan 
Taman Pondok Karya, Jakarta Selatan , Mampang Prapatan , -   ,1748, Taman Lingkungan 
Taman Kemang 8, Jakarta Selatan , Mampang Prapatan , Bangka ,2306, Taman Lingkungan 
Taman Kemang Utara (Bangka A), Jakarta Selatan , Mampang Prapatan , Bangka ,1652, Taman Lingkungan 
Taman Kemang, Jakarta Selatan , Mampang Prapatan , Bangka ,573, Taman Lingkungan 
Taman Tegal Parang Fly Over, Jakarta Selatan , Mampang Prapatan , Mampang Prapatan ,752, Taman Lingkungan 
"Taman Kuningan Barat, segi-3", Jakarta Selatan , Mampang Prapatan , Mampang Prapatan ,103, Taman Lingkungan 
