Tahun,Kabupaten,Kecamatan,Kelurahan,Status Perkawinan,Jumlah Penduduk,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
2015,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,Belum Kawin,13591,13591,13396,276,844
2015,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,Belum Kawin,21321,21321,21718,268,927
2015,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,Belum Kawin,21500,21500,22298,245,740
2015,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,Belum Kawin,8199,8199,8206,215,486
2015,JAKARTA BARAT,TAMAN SARI,KRUKUT,Belum Kawin,10976,10976,11084,107,322
2015,JAKARTA BARAT,TAMAN SARI,MAPHAR,Belum Kawin,9944,9944,9033,220,534
2015,JAKARTA BARAT,TAMAN SARI,TANGKI,Belum Kawin,7370,7370,7432,156,322
2015,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,Belum Kawin,4319,4319,4385,65,167
2015,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,Belum Kawin,9920,9920,10135,161,243
2015,JAKARTA BARAT,TAMAN SARI,GLODOK,Belum Kawin,4216,4216,4133,90,283
2015,JAKARTA BARAT,TAMAN SARI,PINANGSIA,Belum Kawin,6160,6160,6422,92,90
2015,JAKARTA BARAT,TAMBORA,TAMBORA,Belum Kawin,6088,6088,6079,84,191
2015,JAKARTA BARAT,TAMBORA,KALI ANYAR,Belum Kawin,14209,14209,13862,164,421
2015,JAKARTA BARAT,TAMBORA,DURI UTARA,Belum Kawin,12004,12004,11339,167,523
2015,JAKARTA BARAT,TAMBORA,TANAH SEREAL,Belum Kawin,15233,15233,14390,201,868
2015,JAKARTA BARAT,TAMBORA,KERENDANG,Belum Kawin,11719,11719,11392,79,212
2015,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,Belum Kawin,17861,17861,17105,185,311
2015,JAKARTA BARAT,TAMBORA,ANGKE,Belum Kawin,17665,17665,17432,231,656
2015,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,Belum Kawin,12164,12164,11859,160,629
2015,JAKARTA BARAT,TAMBORA,PEKOJAN,Belum Kawin,13458,13458,12721,253,999
2015,JAKARTA BARAT,TAMBORA,ROA MALAKA,Belum Kawin,1904,1904,1962,50,123
2015,JAKARTA BARAT,TAMBORA,DURI SELATAN,Belum Kawin,8348,8348,8232,108,284
2015,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,Belum Kawin,28037,28037,27991,340,824
2015,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,Belum Kawin,21730,21730,20923,309,843
2015,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,Belum Kawin,20648,20648,20262,177,370
2015,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,Belum Kawin,12939,12939,12875,225,610
2015,JAKARTA BARAT,KEBON JERUK,DURI KEPA,Belum Kawin,32091,32091,33110,315,820
2015,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,Belum Kawin,24015,24015,25255,252,710
2015,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,Belum Kawin,16991,16991,17710,199,538
2015,JAKARTA BARAT,KALI DERES,KALIDERES,Belum Kawin,38835,38835,38524,331,1339
2015,JAKARTA BARAT,KALI DERES,SEMANAN,Belum Kawin,38631,38631,38463,275,911
2015,JAKARTA BARAT,KALI DERES,TEGAL ALUR,Belum Kawin,45631,45631,45537,419,1568
2015,JAKARTA BARAT,KALI DERES,KAMAL,Belum Kawin,30668,30668,30395,221,837
2015,JAKARTA BARAT,KALI DERES,PEGADUNGAN,Belum Kawin,39096,39096,39075,227,463
2015,JAKARTA BARAT,PALMERAH,PALMERAH,Belum Kawin,34773,34773,34768,399,1584
2015,JAKARTA BARAT,PALMERAH,SLIPI,Belum Kawin,9307,9307,9353,85,239
2015,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,Belum Kawin,14689,14689,14567,155,355
2015,JAKARTA BARAT,PALMERAH,JATI PULO,Belum Kawin,16376,16376,15777,345,1207
2015,JAKARTA BARAT,PALMERAH,KEMANGGISAN,Belum Kawin,18442,18442,18295,243,662
2015,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,Belum Kawin,12410,12410,12197,134,408
2015,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,Belum Kawin,29328,29328,29532,166,996
2015,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,Belum Kawin,21910,21910,22887,260,982
2015,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,Belum Kawin,17213,17213,17938,188,302
2015,JAKARTA BARAT,KEMBANGAN,SRENGSENG,Belum Kawin,23612,23612,22710,345,961
2015,JAKARTA BARAT,KEMBANGAN,JOGLO,Belum Kawin,21338,21338,21886,232,510
2015,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,Belum Kawin,13830,13830,14630,126,326
2015,JAKARTA SELATAN,TEBET,TEBET TIMUR,Belum Kawin,9766,9766,9695,284,775
2015,JAKARTA SELATAN,TEBET,TEBET BARAT,Belum Kawin,11726,11726,11229,393,1011
2015,JAKARTA SELATAN,TEBET,MENTENG DALAM,Belum Kawin,20501,20501,20241,415,1222
2015,JAKARTA SELATAN,TEBET,KEBON BARU,Belum Kawin,20103,20103,18752,464,1806
2015,JAKARTA SELATAN,TEBET,BUKIT DURI,Belum Kawin,20555,20555,19426,427,1576
2015,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,Belum Kawin,12947,12947,12924,212,860
2015,JAKARTA SELATAN,TEBET,MANGGARAI,Belum Kawin,16296,16296,16167,304,1186
2015,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,Belum Kawin,1740,1740,1577,68,116
2015,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,Belum Kawin,1379,1379,1382,37,96
2015,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,Belum Kawin,9043,9043,8419,131,544
2015,JAKARTA SELATAN,SETIA BUDI,KARET,Belum Kawin,5837,5837,5496,80,292
2015,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,Belum Kawin,15725,15725,15109,407,1179
2015,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,Belum Kawin,15364,15364,14877,262,499
2015,JAKARTA SELATAN,SETIA BUDI,GUNTUR,Belum Kawin,2246,2246,2091,44,182
2015,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,Belum Kawin,3403,3403,3251,78,192
2015,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,Belum Kawin,10726,10726,9952,211,681
2015,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,Belum Kawin,12051,12051,11951,258,584
2015,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,Belum Kawin,24726,24726,23999,597,1837
2015,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,Belum Kawin,18594,18594,17403,296,942
2015,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,Belum Kawin,7367,7367,7192,83,435
